link,sentiment,hourGroup_aprem,hourGroup_finAprem,hourGroup_matin,hourGroup_nuit,hourGroup_soirTard,hourGroup_tresTot,dow_Friday,dow_Monday,dow_Saturday,dow_Sunday,dow_Thursday,dow_Tuesday,dow_Wednesday,season_automne,season_ete,season_hiver,season_printemps,timeSinceLastPost,nbCarac,nbHashtags,nbMentions,nbEmojis,relevantTopic_autre,relevantTopic_coupeDuMonde,relevantTopic_electionsParlementaires,relevantTopic_electionsPresidentielles,relevantTopic_guerreUkraine,relevantTopic_reformeRetraite,newspaper_lefigarofr,newspaper_lesechos,newspaper_lhumanitefr,newspaper_liberationfr,newspaper_valeurs_actuelles
CaQaaSuIXR0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,6808,804,5,0,0,0,0,0,0,1,0,1,0,0,0,0
CaRnDoGIiM9,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,40209,400,5,0,0,0,0,0,0,1,0,1,0,0,0,0
CaRxaAto_4t,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5402,1450,13,0,1,0,0,0,0,1,0,1,0,0,0,0
CaSDuQ1IyxN,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9603,1295,4,0,0,0,0,0,0,1,0,1,0,0,0,0
CaSgMXVI4ll,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14941,580,3,0,0,0,0,0,0,1,0,1,0,0,0,0
CaSjEYXqbwC,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1493,1140,4,0,0,1,0,0,0,0,0,1,0,0,0,0
CaUMHvho4M1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,55078,1101,6,0,1,0,0,0,1,0,0,1,0,0,0,0
CaUYAqkIKgW,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6233,434,4,0,1,1,0,0,0,0,0,1,0,0,0,0
CaUknSNImDO,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6608,1073,5,0,1,0,0,1,0,0,0,1,0,0,0,0
CaU4WaHo9C_,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10373,428,4,0,0,0,0,0,0,1,0,1,0,0,0,0
CaVFEk5IIE1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6644,1114,6,0,1,0,0,0,0,1,0,1,0,0,0,0
CaWJvncI_cG,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,36004,917,4,0,0,0,0,0,0,1,0,1,0,0,0,0
CaWczMzIiM_,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,9991,964,4,0,0,0,0,0,0,1,0,1,0,0,0,0
CaWxQz9o5ob,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10728,693,6,0,1,0,0,0,0,1,0,1,0,0,0,0
CaW1BPpIUTC,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1985,478,5,0,0,0,0,0,0,1,0,1,0,0,0,0
CaXHqTIoTRn,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9758,1124,6,0,0,0,0,0,0,1,0,1,0,0,0,0
CaXmzttIUuw,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16400,836,4,0,0,0,0,0,0,1,0,1,0,0,0,0
CaXxWlII8rZ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5459,991,8,0,0,0,0,0,0,1,0,1,0,0,0,0
CaX7hOBInFX,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5706,324,3,0,0,0,0,0,0,1,0,1,0,0,0,0
CaYBfLboYZO,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2753,843,0,0,1,0,0,0,0,1,0,1,0,0,0,0
CaZWQX3IAWX,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,44443,1328,5,0,0,0,0,0,0,1,0,1,0,0,0,0
CaZasifIab6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2328,1039,8,0,0,0,0,0,0,1,0,1,0,0,0,0
CaZlpnwqI5f,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5743,411,6,0,0,0,0,0,0,1,0,1,0,0,0,0
CaZ_z1Yo0EO,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13716,874,8,0,0,0,0,0,0,1,0,1,0,0,0,0
CaaBMs4omx-,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,728,397,5,0,0,0,0,0,0,1,0,1,0,0,0,0
CaaUQgKoy8K,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10119,356,5,0,0,0,0,0,0,1,0,1,0,0,0,0
CaaxX-pIN6h,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,15139,1353,9,0,0,0,0,0,0,1,0,1,0,0,0,0
Cab5vxqIS4h,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,37943,772,2,0,1,0,0,0,0,1,0,1,0,0,0,0
CacCTJ1I3UX,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4485,1659,1,0,0,0,0,0,0,1,0,1,0,0,0,0
CacHdCwoM6y,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2727,545,2,0,0,0,0,0,0,1,0,1,0,0,0,0
Caej3CHIQdd,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,81977,799,0,0,1,0,0,0,0,1,0,1,0,0,0,0
CafCriaILN7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,16175,374,2,0,0,0,0,0,0,1,0,1,0,0,0,0
