link,nb_likes,nb_post_comments,likesPerSubs,commentsPerSubs,subs
Cawdh0woqtm,2784,48,7554.196315922281,130.24476406762554,0.36853688778673277
Caw5Z9PIiiI,3115,116,8452.342501471949,314.75817983009506,0.36853688778673277
CaxGt7iIP-h,2075,26,5630.372613340062,70.54924720329717,0.36853688778673277
CaxLDJtogJN,521,7,1413.6983766506855,18.994028093195393,0.36853688778673277
CaxSwozIJLu,3388,97,9193.10959710657,263.2029607199933,0.36853688778673277
CazRhJHIfk4,2316,62,6284.309866262933,168.23282025401633,0.36853688778673277
CazkLUCIK5t,3562,74,9665.246866851712,200.7940112709227,0.36853688778673277
Caz7EKvoT4f,3099,188,8408.927580116075,510.1253259315334,0.36853688778673277
Caz_JCeIJnz,1002,19,2718.8594499116834,51.55521911010178,0.36853688778673277
Ca1rUfpIWTi,1625,36,4409.327950206073,97.68357305071916,0.36853688778673277
Ca1xrH6oGi-,1700,25,4612.835394061738,67.83581461855498,0.36853688778673277
Ca11jBOIJzn,4125,127,11192.90941206157,344.60593826225926,0.36853688778673277
Ca1__XFIpah,383,10,1039.2446799562622,27.134325847421987,0.36853688778673277
Ca2WQWwIIoX,1461,18,3964.3250063083524,48.84178652535958,0.36853688778673277
Ca2X9nZIQpW,942,22,2556.0534948271516,59.695516864328376,0.36853688778673277
Ca2bMk5owQl,2063,53,5597.811422323156,143.81192699133655,0.36853688778673277
Ca3-8-eIWiG,1680,42,4558.566742366894,113.96416855917235,0.36853688778673277
Ca4MxQuIDEO,2408,66,6533.945664059215,179.08655059298513,0.36853688778673277
Ca4TmIFIRe_,1919,34,5207.077130120279,92.25670788123476,0.36853688778673277
Ca4TnoxIHBE,1085,40,2944.0743544452857,108.53730338968795,0.36853688778673277
Ca4aD8Ro06Q,1487,52,4034.87425351165,141.09849440659434,0.36853688778673277
Ca4tzKwotPZ,1482,20,4021.3070905879385,54.268651694843975,0.36853688778673277
Ca4zCIuITWG,1008,12,2735.1400454201366,32.561191016906385,0.36853688778673277
Ca45cl_o39a,215,2,583.3880057195728,5.4268651694843975,0.36853688778673277
Ca5HM4Qo8o5,556,11,1508.6685171166625,29.847758432164188,0.36853688778673277
Ca6hOcMo6rI,1287,24,3492.18773656321,65.12238203381277,0.36853688778673277
Ca6usNAoLsR,1932,112,5242.351753721929,303.9044494911263,0.36853688778673277
Ca66vtiob6h,752,42,2040.5013037261335,113.96416855917235,0.36853688778673277
Ca7Gpo-I3o6,2372,63,6436.262091008496,170.94625283875854,0.36853688778673277
Ca7oa5boicN,2880,102,7814.685844057532,276.77012364370427,0.36853688778673277
Ca9UHoWoUF_,2160,151,5861.01438304315,409.728320296072,0.36853688778673277
Ca9WCqcI5zA,2028,57,5502.84128185718,154.66565733030532,0.36853688778673277
Ca93c3KIzrW,3110,80,8438.77533854824,217.0746067793759,0.36853688778673277
Ca-CleHIh2N,903,51,2450.2296240222054,138.38506182185213,0.36853688778673277
CbACxr2oPTc,1132,31,3071.605685928169,84.11641012700817,0.36853688778673277
CbAR9AhIynW,2077,90,5635.799478509547,244.2089326267979,0.36853688778673277
CbAoZGsIgnQ,3408,142,9247.378248801413,385.30742703339223,0.36853688778673277
CbAu0BxIXNx,1431,126,3882.9220287660864,341.8925056775171,0.36853688778673277
CbCns_dogta,1826,60,4954.727899739255,162.80595508453194,0.36853688778673277
CbC9xHMILL6,1963,70,5326.4681638489365,189.9402809319539,0.36853688778673277
CbC_0o6oKkZ,247,2,670.2178484313231,5.4268651694843975,0.36853688778673277
CbDNl0lICtZ,1909,115,5179.942804272858,312.0447472453529,0.36853688778673277
CbDQkHToyR0,392,31,1063.665573218942,84.11641012700817,0.36853688778673277
CbFBGFXo6kB,2691,72,7301.847085541257,195.36714610143832,0.36853688778673277
CbFQM5HoE5X,3631,111,9852.473715198925,301.19101690638405,0.36853688778673277
CbFWQiLopGd,1655,46,4490.730927748339,124.81789889814115,0.36853688778673277
CbFlk_7oTW-,805,21,2184.31323071747,56.982084279586175,0.36853688778673277
CbF4D7NIGdt,1869,68,5071.405500883169,184.51341576246952,0.36853688778673277
CbHlfr3IsxY,1063,40,2884.378837580957,108.53730338968795,0.36853688778673277
CbHrJcVIe9e,1239,30,3361.9429724955844,81.40297754226597,0.36853688778673277
CbHx8AiIc8Z,1989,48,5397.017411052234,130.24476406762554,0.36853688778673277
CbIIgw3o0Ko,2350,51,6376.566574144167,138.38506182185213,0.36853688778673277
CbIKfoBohYx,891,13,2417.668433005299,35.274623601648585,0.36853688778673277
CbILYeFIRvt,3750,121,10175.372192783247,328.32534275380607,0.36853688778673277
CbKEURGIZpl,1776,27,4819.056270502145,73.26267978803936,0.36853688778673277
CbKPEYtqujw,2162,114,5866.441248212634,309.33131466061064,0.36853688778673277
CbKRqBTIu2v,519,14,1408.2715114812013,37.988056186390786,0.36853688778673277
CbKWFxzIuyi,985,23,2672.7310959710658,62.408949449070576,0.36853688778673277
CbLB7sqICgr,290,10,786.8954495752376,27.134325847421987,0.36853688778673277
CbMltooIqR_,786,10,2132.758011607368,27.134325847421987,0.36853688778673277
